title,href
中国大陆已判在押政治犯、良心犯月度报告（2017年11月30日）第25期（共444人）（五）,https://wqw2010.blogspot.com/2017/11/2017113025444_93.html
中国大陆已判在押政治犯、良心犯月度报告（2017年11月30日）第25期（共444人）（四）,https://wqw2010.blogspot.com/2017/11/2017113025444_58.html
中国大陆已判在押政治犯、良心犯月度报告（2017年11月30日）第25期（共444人）（三）,https://wqw2010.blogspot.com/2017/11/2017113025444_24.html
中国大陆已判在押政治犯、良心犯月度报告（2017年11月30日）第25期（共444人）（二）,https://wqw2010.blogspot.com/2017/11/2017113025444_30.html
中国大陆已判在押政治犯、良心犯月度报告（2017年11月30日）第25期（共444人）（一）,https://wqw2010.blogspot.com/2017/11/2017113025444.html
北京维权人叶国柱、叶国强遭刑事拘留（图）,https://wqw2010.blogspot.com/2017/11/blog-post_856.html
南通拒绝公开黑监狱信息，张华不服一审判决将提起上诉  ,https://wqw2010.blogspot.com/2017/11/blog-post_379.html
江苏南通刘德明为阻止非法圈地而被刑拘,https://wqw2010.blogspot.com/2017/11/blog-post_79.html
贵州桐梓县村民李明书举报镇村干部徇私枉法遭遇逮捕并受到牢头狱霸威胁,https://wqw2010.blogspot.com/2017/11/blog-post_295.html
蔺其磊律师:：李昱函律师案件进展——60多岁女律师竟受如此折磨！,https://wqw2010.blogspot.com/2017/11/60.html
维权网：中国大陆羁押未判及强迫失踪人员月度报告（2017年 11月30日）第二十六期（共280人）（下）,https://wqw2010.blogspot.com/2017/11/2017-1130280_82.html
维权网：中国大陆羁押未判及强迫失踪人员月度报告（2017年 11月30日）第二十六期（共280人）（上）,https://wqw2010.blogspot.com/2017/11/2017-1130280_30.html
全国“民代幼”教师2000多人再次进京集体维权(图),https://wqw2010.blogspot.com/2017/11/2000.html
包龙军：王宇律师赴北京市司法局交涉恢复执业事宜,https://wqw2010.blogspot.com/2017/11/blog-post_518.html
祝圣武律师：我与彭宇华、李明哲案,https://wqw2010.blogspot.com/2017/11/blog-post_871.html
投诉：我们西安市莲湖区城管人员到区政府请愿,https://wqw2010.blogspot.com/2017/11/blog-post_777.html
伍立娟：四大银行断友继续在北京总部门口维权抗议,https://wqw2010.blogspot.com/2017/11/blog-post_243.html
遭遇非法圈地报警未果，南通刘德明点燃钩机被警察带走（图）,https://wqw2010.blogspot.com/2017/11/blog-post_406.html
独立中文笔会会员湖北荆门周远志被以“组织非法聚集罪”刑事拘留（图）  ,https://wqw2010.blogspot.com/2017/11/blog-post_56.html
台湾NGO李明哲、彭宇华案今天在湖南岳阳宣判 李明哲获刑5年 彭宇华获刑7年（图）  ,https://wqw2010.blogspot.com/2017/11/ngo-5-7.html
陈秉中（原中国健康教育研究所所长）：输血感染艾滋投诉无门妻子上吊丈夫病亡    河南血祸元凶却平步青云,https://wqw2010.blogspot.com/2017/11/blog-post_343.html
黑龙江省讷河市民办教师的控诉,https://wqw2010.blogspot.com/2017/11/blog-post_31.html
宋玉生：青岛市第二看守所会见李延香情况通报,https://wqw2010.blogspot.com/2017/11/blog-post_147.html
张磊律师: 李国志牧师行政处罚案情况通报,https://wqw2010.blogspot.com/2017/11/blog-post_42.html
燕薪律师：信仰的归信仰，法律的归法律——苏天富行政处罚案代理词,https://wqw2010.blogspot.com/2017/11/blog-post_841.html
镇江访民马玉珍出监狱直奔北京祭奠杨佳,https://wqw2010.blogspot.com/2017/11/blog-post_403.html
拆迁方关押老人后强拆，洛阳丁喜玲报警未果而起诉,https://wqw2010.blogspot.com/2017/11/blog-post_92.html
洛阳槐树湾八村民被限制人身自由，提起行政复议,https://wqw2010.blogspot.com/2017/11/blog-post_57.html
中国维权动态 周刊总第545期（2017年11月20日-26日）,https://wqw2010.blogspot.com/2017/11/54520171120-26.html
广东维权人士余建凤一审以“寻衅滋事罪”判处有期徒刑3年9个月 狱中遭殴打致残疾,https://wqw2010.blogspot.com/2017/11/39.html
隋牧青律师：赤壁会见陈剑雄通报  ,https://wqw2010.blogspot.com/2017/11/blog-post_84.html
向天安门毛像投掷墨水瓶的退役武警孙兵狱中罹患肺癌 出狱已成晚期 今凌晨3时去世,https://wqw2010.blogspot.com/2017/11/3_26.html
文东海：请支持709辩护律师文东海自己的维权,https://wqw2010.blogspot.com/2017/11/709_25.html
江西宜春公民胡湘银已被批捕 境况艰难,https://wqw2010.blogspot.com/2017/11/blog-post_29.html
南通港闸住建局越权签约，圈地受害人刘德明向法院起诉,https://wqw2010.blogspot.com/2017/11/blog-post_48.html
郑州陈卫：探访羁押在河南濮阳市台前县看守所的四川何远坤情况通报,https://wqw2010.blogspot.com/2017/11/blog-post_36.html
知识界人士就近日北京大规模驱赶“外来人口”事件致中共中央、全国人大、国务院、全国政协信：  ,https://wqw2010.blogspot.com/2017/11/blog-post_52.html
上海3人权捍卫者徐佩玲、陈建芳、任迺俊旁听丁德元案庭审鼓掌遭拘留,https://wqw2010.blogspot.com/2017/11/3_25.html
理解、善待、宽容、关爱他们！———关于立即停止粗暴驱赶“低端人群”、立即开放救助中心的呼吁,https://wqw2010.blogspot.com/2017/11/blog-post_53.html
投诉：陕西安同国际购房户再次到碑林区政府讨要预购房款,https://wqw2010.blogspot.com/2017/11/blog-post_86.html
南京市中院将规范性文件当作党内监督条例，无锡市桃农王银华不服枉法裁判提起行政上诉,https://wqw2010.blogspot.com/2017/11/blog-post_66.html
葛永喜律师:袁兵会见小记,https://wqw2010.blogspot.com/2017/11/blog-post_25.html
丁德元案辩护词,https://wqw2010.blogspot.com/2017/11/blog-post_65.html
丁德元案的辩护人戴佩清律师控告上海市浦东新区法院惠南法庭白法官剥夺其复制证据的权利  ,https://wqw2010.blogspot.com/2017/11/blog-post_85.html
江西瑞昌市原民办教师严春龙在中共19大会议前后被控制17天(图),https://wqw2010.blogspot.com/2017/11/1917.html
转载：中国：联合国专家谴责对人权律师江天勇的监禁,https://wqw2010.blogspot.com/2017/11/blog-post_91.html
蔺其磊律师:深圳11.15大抓捕案之肖兵案进展情况,https://wqw2010.blogspot.com/2017/11/blog-post_70.html
投诉：张淑凤：十九大开完了、川普总统也走了，北京维权人士张德利还被非法限制人身自由  ,https://wqw2010.blogspot.com/2017/11/blog-post_26.html
上海著名人权捍卫者冯正虎被抄家  目前失联  ,https://wqw2010.blogspot.com/2017/11/blog-post_33.html
一审断定镇政府没有强拆，洛阳袁景现不服而上诉,https://wqw2010.blogspot.com/2017/11/blog-post_0.html
 投诉：陕西西咸新区国润城购房户到陕西省政府请愿,https://wqw2010.blogspot.com/2017/11/blog-post_59.html
上海公民近日上街举牌强烈呼吁中共政权释放全国政治犯,https://wqw2010.blogspot.com/2017/11/blog-post_22.html
精准扶贫体制性失准，四川广安贫困户叶元兰进京信访遭暴力,https://wqw2010.blogspot.com/2017/11/blog-post_58.html
陕西民代幼教师300多人到省教育厅上访维权(图),https://wqw2010.blogspot.com/2017/11/300.html
西安东三爻村村民坚决反对曲江管委会的“改造”,https://wqw2010.blogspot.com/2017/11/blog-post_51.html
  谢燕益：江天勇为我们承受两年徒刑！  ,https://wqw2010.blogspot.com/2017/11/blog-post_47.html
江苏阜宁公安将刑事犯罪案件以行政案件终结,https://wqw2010.blogspot.com/2017/11/blog-post_21.html
江天勇律师煽动颠覆国家政权案一审宣判 遭判刑2年,https://wqw2010.blogspot.com/2017/11/2.html
709江天勇律师案今长沙宣判  709律师家属前往围观遭当局拦截殴打抓捕 王峭岭手腕被掰坏  李文足被提四肢拖拽五十多米,https://wqw2010.blogspot.com/2017/11/709-709.html
黎雄兵律师:会理县公检法公然撒谎,https://wqw2010.blogspot.com/2017/11/blog-post_95.html
十九大被非法拘禁的上海访民张茵要求当局落实全面依法治国,https://wqw2010.blogspot.com/2017/11/blog-post_37.html
王宇、包龙军：思念李昱函大姐  ,https://wqw2010.blogspot.com/2017/11/blog-post_72.html
中国维权动态周刊总第544期（2017年11月13日-19日）,https://wqw2010.blogspot.com/2017/11/54420171113-19.html
709江天勇律师煽动颠覆国家政权案一审11月21日在长沙中院再次开庭  估计要宣判,https://wqw2010.blogspot.com/2017/11/7091121.html
卢廷阁律师自述2017年11月17日在会理法院被打经过,https://wqw2010.blogspot.com/2017/11/20171117.html
刘文华律师： 明经国案庭审通报——为权利而斗争,https://wqw2010.blogspot.com/2017/11/blog-post_69.html
上海公民今年第21次上街举牌要求批准《公民权利和政治权利国际公约》和要求官员公开财产,https://wqw2010.blogspot.com/2017/11/21.html
创办农林合作社因未孝敬领导被定违法，业主王兴安第18次进京无奈闯中南海,https://wqw2010.blogspot.com/2017/11/18.html
因关注徐纯合案被判刑3年的柴宝文获释出狱,https://wqw2010.blogspot.com/2017/11/3.html
北京狱中维权人士李学惠在石景山看守所获见律师,https://wqw2010.blogspot.com/2017/11/blog-post_97.html
黎雄兵：卢廷阁律师在法院开庭遭法警殴打入院救治,https://wqw2010.blogspot.com/2017/11/blog-post_43.html
上海人权捍卫者丁德元被构陷“妨碍公务罪”案通报,https://wqw2010.blogspot.com/2017/11/blog-post_87.html
张亮与南通海事局劳动争议案已开庭,https://wqw2010.blogspot.com/2017/11/blog-post_94.html
投诉：星美国际广场购房户到西安市信访接待中心要求退还购房款    ,https://wqw2010.blogspot.com/2017/11/blog-post_61.html
著名政治犯唐荆陵10月份因中耳炎住院半个多月 狱中健康令人担忧,https://wqw2010.blogspot.com/2017/11/10_17.html
“709案”代理律师李昱函已被正式批捕（图）,https://wqw2010.blogspot.com/2017/11/709_17.html
江西赣州市中级法院竟不允许明经国案委托律师迟夙生出庭,https://wqw2010.blogspot.com/2017/11/blog-post_93.html
文东海律师：张春蕾一案进程通报,https://wqw2010.blogspot.com/2017/11/blog-post_68.html
公益诉讼功成20载，遭打击报复的环保卫士张长建就自身权益向人大控告检察院不作为,https://wqw2010.blogspot.com/2017/11/20.html
袁朝阳（袁新亭）今刑满出狱,https://wqw2010.blogspot.com/2017/11/blog-post_73.html
王秋实律师：林明洁案庭前会议情况通报  ,https://wqw2010.blogspot.com/2017/11/blog-post_30.html
投诉：西安石家围墙村民就城中村“改造”问题到陕西省政府上访,https://wqw2010.blogspot.com/2017/11/blog-post_15.html
蔺其磊律师:李小玲案件进展情况——案件已移送珠海市香洲区检察院起诉  ,https://wqw2010.blogspot.com/2017/11/blog-post_27.html
