公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,河南农业职业学院食品质量与安全专业教学资源库建设项目包1-成交公告,,豫财磋商采购-2021-77,"虚拟仿真教学系统开发,食品安全与质量管理软件,食品质量与安全专业教学资源库建设项目",596000.0,河南农业职业学院,学校,孙**-0371-67290682,河南华豫正大工程咨询有限公司,王**-0371-86113282,武汉万域动力科技有限公司,,596000.0,2021-04-30,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/279634972/b2
中标,中标结果,某3型系统能力评估虚拟仿真软件中标公示(2021-JLPFZZ-W1012),,2021-JLPFZZ-W1012,系统能力评估虚拟仿真软件,0.0,中央军委后勤保障部,政府及事业单位,杨**-0371-81629357,,,湖北三江航天险峰电子信息有限公司,,0.0,2021-04-29,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/242787449/b2
中标,中标结果,郑州大学体育学院（校本部）“心静意定”太极拳精要教学互动虚拟仿真实验采购项目成交公告,,郑大-竞谈-2021-0013,教学互动虚拟仿真实验采购,189400.0,郑州大学,学校,,中金泰富工程管理有限公司,郭**-0371-55022102,北京智烁科技有限公司,,189400.0,2021-04-29,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/279636216/b2
中标,中标结果,河南护理职业学院妇产科虚拟仿真实训室建设与基础护理虚拟仿真实训室建设项目-中标公告,,豫财招标采购-2020-1256,"三维虚拟仿真系统,虚拟仿真实训室建设与基础护理虚拟仿真实训室建设项目",1230000.0,河南护理职业学院,学校,陈**-18537286036,中睿智工程管理有限公司,"孟**-0371-55129033,张**-13393723130",厦门立方幻境科技有限公司,,1230000.0,2021-04-27,河南,安阳,,,,https://www.zhiliaobiaoxun.com/content/279639134/b2
中标,合同,VR虚拟仿真实训中心劥购置项目合同-验收报告公示,,郑财招标采购-2020-345,VR虚拟仿真实训中心设备,0.0,郑州职业技术学院,学校,常**-0371-64961199,,,深圳国泰安教育技术有限公司,许**-18768869990,0.0,2021-04-26,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/279639672/b2
中标,中标结果,黄河水利职业技术学院建筑技术虚拟仿真实训室设备采购项目结果公告,,HYZC2021-018,"建筑技术虚拟仿真实训室设备,3D眼镜,混合现实交互系统,智慧大屏,BIMVR教学平台",610000.0,黄河水利职业技术学院,学校,刘**-0371-23658039,河南德泓工程管理咨询有限公司,,中原教育科技集团有限公司,,610000.0,2021-04-26,河南,开封,,,,https://www.zhiliaobiaoxun.com/content/326784353/b2
中标,中标结果,郑州大学基础医学院虚拟仿真实验教学项目,,郑大竞争性谈判-2020-98,"虚拟仿真实验教学项目,消化系统虚拟仿真系统",0.0,郑州大学基础医学院,学校,"常*-15138079028,常*-13838257005",,,,,,2021-04-25,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/242960680/b2
中标,中标结果,新乡职业技术学院工业机器人虚拟仿真平台项目结果公告,,,工业机器人虚拟仿真平台项目,998800.0,新乡职业技术学院,学校,徐**-15136738839,福建恒信工程咨询有限公司,薛*-13017600240,河南普众教育科技有限公司,,998800.0,2021-04-23,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/279643196/b2
中标,中标结果,新乡医学院MR动态资源库建设项目单一来源采购邀请公告,,豫教单一采购-2021-61,"医学虚拟仿真实验教学管理平台,MR动态资源库建设项目,MR检查技术动态资源库,MR成像原理动态资源库",200000.0,新乡医学院,学校,万**-0373-3831018,河南省教育招标服务有限公司,翟**-0371-56058512,济南中飞科技有限公司,,200000.0,2021-04-23,河南,新乡,,,,https://www.zhiliaobiaoxun.com/content/326784421/b2
中标,中标结果,省级高技能人才培养示范基地建设项目3D扫描仪及工具刀具采购 成交结果公告,,漯采磋商采购-2021-43,"量具虚拟仿真,磁性表座,数显外径千分尺,手持扫描仪,液压刀柄,数显公法线千分尺,数显卡尺型千分尺,杠杆百分表,杠杆千分表,数显壁厚千分尺,数显深度卡尺,工具刀具,教学专用仪器,3D扫描仪,钟式百分表,无线数据传输装置,数显深度千分表,高精密筒夹,深度表基座,刻度三点内径千分尺,数显叶片千分尺",470000.0,漯河技师学院,学校,谢**-0395-6772668,北京国金管理咨询有限公司,赵**-19143951133,济南朗思信息工程有限公司,,455000.0,2021-04-21,河南,漯河,,,,https://www.zhiliaobiaoxun.com/content/314096159/b2
中标,合同,关于省级高技能人才培养示范基地建设项目3D扫描仪及工具刀具采购的合同,,漯采磋商采购-2021-43,"量具虚拟仿真,磁性表座,数显外径千分尺,手持扫描仪,液压刀柄,数显公法线千分尺,数显卡尺型千分尺,杠杆百分表,杠杆千分表,数显壁厚千分尺,数显深度卡尺,工具刀具,教学专用仪器,3D扫描仪,钟式百分表,无线数据传输装置,数显深度千分表,高精密筒夹,深度表基座,刻度三点内径千分尺,数显叶片千分尺",470000.0,漯河技师学院,学校,谢**-0395-6772668,北京国金管理咨询有限公司,赵**-19143951133,济南朗思信息工程有限公司,,455000.0,2021-04-21,河南,漯河,,,,https://www.zhiliaobiaoxun.com/content/314082635/b2
中标,中标结果,许昌职业技术学院创新创业平台升级改造-中标公告,,许采-2020-959,"创业基础虚拟仿真训练平台,创新创业平台升级改造",558600.0,许昌职业技术学院,学校,何**-13937455084,许昌市政府采购服务中心,李**-0374-2966828,赛云九洲科技股份有限公司,,558600.0,2021-04-20,河南,许昌,,,,https://www.zhiliaobiaoxun.com/content/280714085/b2
中标,中标结果,ZFCG-G2021013号许昌职业技术学院“创新创业平台升级改造（不见面开标）”项目-评标公示,,ZFCG-G2021013号,"创业基础虚拟仿真训练平台,电子设备项目,创业培训项目,家具,教学设备,创新创业平台升级改造,生活等设备物品,创业训练系统虚拟仿真实验项目,创业培训云平台项目",578000.0,晋江海峡职业培训中心,政府及事业单位,,,,"赛云九洲科技股份有限公司
许昌凯博电脑科技有限公司",辛**-010-63169411,"577880.0
577880.0",2021-04-20,河南,许昌,,,,https://www.zhiliaobiaoxun.com/content/288197336/b2
中标,中标结果,郑州市财贸学校企业经营ARE虚拟仿真教学系统项目成交公告,,,虚拟仿真教学系统项目,0.0,郑州市财贸学校,学校,,,,,,,2021-04-15,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/267714177/b2
中标,中标结果,商丘医学高等专科学校急救3D虚拟仿真实训室项目（二次）结果公告,,商财采磋-2021-26,急救3D虚拟仿真实训室项目,1336141.0,商丘医学高等专科学校,学校,赫***-13837066220,商丘市政府采购中心,梁**-0370-2853677,河南农租供应链管理有限公司,,1215000.0,2021-04-15,河南,商丘,,,,https://www.zhiliaobiaoxun.com/content/311791222/b2
中标,中标结果,[竞争性谈判]新乡职业技术学院工业机器人虚拟仿真平台项目-竞争性谈判公告,,,工业机器人虚拟仿真平台项目,1000000.0,新乡职业技术学院,学校,,福建恒信工程咨询有限公司,"徐**-15136738839,薛*-13017600240",,,,2021-04-13,河南,新乡,,,,https://www.zhiliaobiaoxun.com/content/242796491/b2
中标,中标结果,商丘医学高等专科学校护理3D仿真虚拟智慧教室项目（二次）结果公告,,商财采磋-2021-14号,护理3D仿真虚拟智慧教室项目,1867640.0,商丘医学高等专科学校,学校,赫***-13837066220,商丘市政府采购中心,李**-0370-2853692,北京元康伟泰科贸有限公司,,1848000.0,2021-04-02,河南,商丘,,,,https://www.zhiliaobiaoxun.com/content/304097686/b2
中标,中标结果,中原工学院飞行员健康监测管理平台项目中标公告,,豫财招标采购-2021-101,"沉浸式虚拟仿真视景系统,飞行模拟系统,飞行员健康监测管理平台项目",2191000.0,中原工学院,学校,成**-0371-62506800,中金泰富工程管理有限公司,务**-0371-55966928,郑州胜龙信息技术股份有限公司,,2191000.0,2021-04-01,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/286634934/b2
中标,中标结果,商丘医学高等专科学校急救3D虚拟仿真实训室项目-结果公告,,商财采磋-2021-26号,急救3D虚拟仿真实训室项目,1336141.0,商丘医学高等专科学校,学校,赫***-13837066220,商丘市政府采购中心,李**-0370-2853692,,,,2021-03-30,河南,商丘,,,,https://www.zhiliaobiaoxun.com/content/288366357/b2
中标,中标结果,河南科技大学产出导向的电工电子实验中心建设项目包1、包2-中标公告,,豫财招标采购-2020-1574,"分布式发电与智能微电网虚拟仿真教学软件,可编程直流电子负载,电工电子实验中心建设项目,数字示波器,电厂电气原理虚拟仿真教学软件,ACDC电流探头",0.0,河南科技大学,学校,白**-0379-60229662,河南省机电设备招标股份有限公司,李**-0371-65928013,"河南安强科贸有限公司
北京象新力科技有限公司",,"857800.0
728800.0",2021-03-23,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/314648574/b2
中标,中标结果,教育学院虚拟仿真实验项目,,豫财磋商采购-2020-389,"虚拟仿真实验项目,教学专用仪器,虚拟仿真教学实验室扩建项目",399200.0,安阳师范学院,学校,,,,北京润尼尔网络科技有限公司,陈**-15827475180,399200.0,2021-03-19,河南,安阳,,,,https://www.zhiliaobiaoxun.com/content/280009113/b2
中标,中标结果,安阳师范学院虚拟仿真教学实验室扩建项目 豫政采(2)20201434-2,,豫财磋商采购-2020-389,"虚拟仿真教学实验室扩建项目,教学专用仪器",294500.0,安阳师范学院,学校,,,,中科珠峰（天津）科技有限公司,"陈**-15290826556,陈**-400-885-2887",294500.0,2021-03-19,河南,安阳,,,,https://www.zhiliaobiaoxun.com/content/280009116/b2
中标,中标结果,甲骨文与殷商社会文化虚拟仿真实验教学项目,,豫财磋商采购-2020-389,"虚拟仿真实验教学项目,教学专用仪器,虚拟仿真教学实验室扩建项目",299300.0,安阳师范学院,学校,,,,北京润尼尔网络科技有限公司,陈**-15827475180,299300.0,2021-03-19,河南,安阳,,,,https://www.zhiliaobiaoxun.com/content/280009115/b2
中标,中标结果,虚拟仿真智慧商务综合实训中心B标段综合实训平台项目,,汴财招标采购-2020-206,"操作系统,综合实训平台项目",2036800.0,开封文化艺术职业学院,学校,韩*-15503786656,,,河南金雨达科技有限公司,宋*-15838267372,2036800.0,2021-03-12,河南,开封,,,,https://www.zhiliaobiaoxun.com/content/280005767/b2
中标,中标结果,郑州职业技术学院虚拟仿真实训中心窗帘采购项目询价结果公示,,,窗帘,23698.0,郑州职业技术学院,学校,常**-0371-64961199,,,郑州梦家电动遮阳制品有限公司,,23698.0,2021-03-10,河南,郑州,,,,https://www.zhiliaobiaoxun.com/content/232581388/b2
中标,中标结果,信阳职业技术学院化学实验室建设项目-中标公告,,信财公开招标-2020-253,"化学实验虚拟仿真软件,高效液相色谱仪,触摸屏教学一体机,化学实验室建设项目,视频采集存储系统,气相色谱仪,学生课桌椅,图形工作站器,安装红外光谱仪,全波长多功能光栅酶标仪,各型色谱柱,电子天平",1451866.0,信阳职业技术学院,学校,杨**-0376-6283598,河南新润泽工程咨询有限公司,梅**-15225350610,河南东尔科学仪器有限公司,,1451866.0,2021-03-04,河南,信阳,,,,https://www.zhiliaobiaoxun.com/content/320072000/b2
